PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,CabinPresent,FamilySize
892,0,3,0,34.5,0,0,7.8292,2,0,1
893,1,3,1,47.0,1,0,7.0,0,0,2
894,0,2,0,62.0,0,0,9.6875,2,0,1
895,0,3,0,27.0,0,0,8.6625,0,0,1
896,1,3,1,22.0,1,1,12.2875,0,0,3
897,0,3,0,14.0,0,0,9.225,0,0,1
898,1,3,1,30.0,0,0,7.6292,2,0,1
899,0,2,0,26.0,1,1,29.0,0,0,3
900,1,3,1,18.0,0,0,7.2292,1,0,1
901,0,3,0,21.0,2,0,24.15,0,0,3
902,0,3,0,27.0,0,0,7.8958,0,0,1
903,0,1,0,46.0,0,0,26.0,0,0,1
904,1,1,1,23.0,1,0,82.2667,0,1,2
905,0,2,0,63.0,1,0,26.0,0,0,2
906,1,1,1,47.0,1,0,61.175,0,1,2
907,1,2,1,24.0,1,0,27.7208,1,0,2
908,0,2,0,35.0,0,0,12.35,2,0,1
909,0,3,0,21.0,0,0,7.225,1,0,1
910,1,3,1,27.0,1,0,7.925,0,0,2
911,1,3,1,45.0,0,0,7.225,1,0,1
912,0,1,0,55.0,1,0,59.4,1,0,2
913,0,3,0,9.0,0,1,3.1708,0,0,2
914,1,1,1,27.0,0,0,31.6833,0,0,1
915,0,1,0,21.0,0,1,61.3792,1,0,2
916,1,1,1,48.0,1,3,262.375,1,1,5
917,0,3,0,50.0,1,0,14.5,0,0,2
918,1,1,1,22.0,0,1,61.9792,1,1,2
919,0,3,0,22.5,0,0,7.225,1,0,1
920,0,1,0,41.0,0,0,30.5,0,1,1
921,0,3,0,27.0,2,0,21.6792,1,0,3
922,0,2,0,50.0,1,0,26.0,0,0,2
923,0,2,0,24.0,2,0,31.5,0,0,3
924,1,3,1,33.0,1,2,20.575,0,0,4
925,1,3,1,27.0,1,2,23.45,0,0,4
926,0,1,0,30.0,1,0,57.75,1,1,2
927,0,3,0,18.5,0,0,7.2292,1,0,1
928,1,3,1,27.0,0,0,8.05,0,0,1
929,1,3,1,21.0,0,0,8.6625,0,0,1
930,0,3,0,25.0,0,0,9.5,0,0,1
931,0,3,0,27.0,0,0,56.4958,0,0,1
932,0,3,0,39.0,0,1,13.4167,1,0,2
933,0,1,0,27.0,0,0,26.55,0,1,1
934,0,3,0,41.0,0,0,7.85,0,0,1
935,1,2,1,30.0,0,0,13.0,0,0,1
936,1,1,1,45.0,1,0,52.5542,0,1,2
937,0,3,0,25.0,0,0,7.925,0,0,1
938,0,1,0,45.0,0,0,29.7,1,1,1
939,0,3,0,27.0,0,0,7.75,2,0,1
940,1,1,1,60.0,0,0,76.2917,1,1,1
941,1,3,1,36.0,0,2,15.9,0,0,3
942,0,1,0,24.0,1,0,60.0,0,1,2
943,0,2,0,27.0,0,0,15.0333,1,0,1
944,1,2,1,20.0,2,1,23.0,0,0,4
945,1,1,1,28.0,3,2,263.0,0,1,6
946,0,2,0,27.0,0,0,15.5792,1,0,1
947,0,3,0,10.0,4,1,29.125,2,0,6
948,0,3,0,35.0,0,0,7.8958,0,0,1
949,0,3,0,25.0,0,0,7.65,0,1,1
950,0,3,0,27.0,1,0,16.1,0,0,2
951,1,1,1,36.0,0,0,262.375,1,1,1
952,0,3,0,17.0,0,0,7.8958,0,0,1
953,0,2,0,32.0,0,0,13.5,0,0,1
954,0,3,0,18.0,0,0,7.75,0,0,1
955,1,3,1,22.0,0,0,7.725,2,0,1
956,0,1,0,13.0,2,2,262.375,1,1,5
957,1,2,1,27.0,0,0,21.0,0,0,1
958,1,3,1,18.0,0,0,7.8792,2,0,1
959,0,1,0,47.0,0,0,42.4,0,0,1
960,0,1,0,31.0,0,0,28.5375,1,1,1
961,1,1,1,60.0,1,4,263.0,0,1,6
962,1,3,1,24.0,0,0,7.75,2,0,1
963,0,3,0,21.0,0,0,7.8958,0,0,1
964,1,3,1,29.0,0,0,7.925,0,0,1
965,0,1,0,28.5,0,0,27.7208,1,1,1
966,1,1,1,35.0,0,0,211.5,1,1,1
967,0,1,0,32.5,0,0,211.5,1,1,1
968,0,3,0,27.0,0,0,8.05,0,0,1
969,1,1,1,55.0,2,0,25.7,0,1,3
970,0,2,0,30.0,0,0,13.0,0,0,1
971,1,3,1,24.0,0,0,7.75,2,0,1
972,0,3,0,6.0,1,1,15.2458,1,0,3
973,0,1,0,67.0,1,0,221.7792,0,1,2
974,0,1,0,49.0,0,0,26.0,0,0,1
975,0,3,0,27.0,0,0,7.8958,0,0,1
976,0,2,0,27.0,0,0,10.7083,2,0,1
977,0,3,0,27.0,1,0,14.4542,1,0,2
978,1,3,1,27.0,0,0,7.8792,2,0,1
979,1,3,1,18.0,0,0,8.05,0,0,1
980,1,3,1,27.0,0,0,7.75,2,0,1
981,0,2,0,2.0,1,1,23.0,0,0,3
982,1,3,1,22.0,1,0,13.9,0,0,2
983,0,3,0,27.0,0,0,7.775,0,0,1
984,1,1,1,27.0,1,2,52.0,0,1,4
985,0,3,0,27.0,0,0,8.05,0,0,1
986,0,1,0,25.0,0,0,26.0,1,0,1
